source_study,source_path,audited_files,hashed_files,exact_hash_matches,exact_match_pct,code_files,code_exact_matches,output_files,output_exact_matches,dominant_target_locations,unmatched_examples
FYP/analysis code,D:\SDS2025_workspace\CASA_FYP\FYP\analysis code,24,24,0,0.0,24,0,0,0,,01_rail_LU_TWT_feature_build.ipynb; 02_rail_LU_TWT_candidate_evaluation.ipynb; 03_preprocess_numbat_lu_multiday.ipynb; 03_preprocess_numbat_lu_multiday.py; 04_join_station_coords.py; 04_preprocess_busto_full.py; 05_plot_cluster_maps.py; 06_plot_bus_cluster_maps.py
FYP/bus_rail_relation_analysis,D:\SDS2025_workspace\CASA_FYP\FYP\bus_rail_relation_analysis,22,22,22,100.0,5,5,15,15,research_record/04_exploratory_bus_rail_relation (22),
FYP/cluster_clean_version_fullweek,D:\SDS2025_workspace\CASA_FYP\FYP\cluster_clean_version_fullweek,100,100,89,89.0,6,0,89,85,research_record/01_model_development/method_experiments/historical_reference_cluster_clean_version_fullweek (89),README.md; bus_clr_test\input\bus_lsoa_night_long_point_in_polygon.parquet; bus_clr_test\outputs\features\X_bus_pointinpolygon_clr.parquet; bus_clr_test\src\01_run_bus_clr_test.py; bus_clr_test\src\map_style.py; outputs\features\X_bus.parquet; outputs\features\X_rail.parquet; src\03_build_features.py
FYP/lnwc_spatial_map,D:\SDS2025_workspace\CASA_FYP\FYP\lnwc_spatial_map,2,2,2,100.0,1,1,1,1,research_record/02_context_alternatives/historical_lnwc_spatial_map (2),
FYP/numbat_all_area_test,D:\SDS2025_workspace\CASA_FYP\FYP\numbat_all_area_test,448,448,420,93.8,14,2,375,368,research_record/01_model_development/rail_scope_and_stability/outputs (598); research_record/01_model_development/rail_scope_and_stability/cluster_substructure (26); results (4); analysis/02_mode_specific_clustering/rail (2),README.md; cluster_substructure\README.md; cluster_substructure\src\01_c2_substructure.py; cluster_substructure\src\02_c2ab_temporal_profile.py; cluster_substructure\src\03_c4_substructure.py; cluster_substructure\src\04_c4_subgroups_temporal_profile.py; outputs\archive_420station_allmodes\README.md; outputs\archive_420station_allmodes\data\numbat_allmodes_station_qhr_all_daytypes.parquet
FYP/rq1_bus_05cutoff_sensitivity,D:\SDS2025_workspace\CASA_FYP\FYP\rq1_bus_05cutoff_sensitivity,136,136,21,15.4,6,1,121,20,research_record/01_model_development/adopted_bus_diagnostics_snapshot/outputs_1805_min33 (20); analysis/02_mode_specific_clustering/bus (1),SUMMARY.md; bus_stoparea_05cutoff\outputs\audit\input_manifest.csv; bus_stoparea_05cutoff\outputs\audit\runtime_versions.csv; bus_stoparea_05cutoff\outputs\data\lsoa_direction_totals.csv; bus_stoparea_05cutoff\outputs\data\preprocessing_summary.csv; bus_stoparea_05cutoff\outputs\preprocessed\bus_lsoa_night_long.parquet; bus_stoparea_05cutoff\outputs\preprocessed\bus_stoparea_night_qhr_all.parquet; bus_stoparea_05cutoff\outputs\preprocessed\bus_stoparea_night_qhr_london.parquet
FYP/rq1_bus_clr_transform,D:\SDS2025_workspace\CASA_FYP\FYP\rq1_bus_clr_transform,33,33,11,33.3,3,0,27,11,research_record/01_model_development/method_experiments/rq1_bus_ilr_transform (11),README.md; outputs\run_environment.json; outputs\data\clr_howard_central_outer.csv; outputs\diagnostics\clr_bic_grid.csv; outputs\diagnostics\clr_cluster_homogeneity.csv; outputs\diagnostics\clr_kdiag.csv; outputs\diagnostics\clr_kdiag_full.csv; outputs\features\raw_metrics.csv
FYP/rq1_bus_geography_diagnostic,D:\SDS2025_workspace\CASA_FYP\FYP\rq1_bus_geography_diagnostic,18,18,13,72.2,4,0,9,9,research_record/01_model_development/formal_sensitivity_checks/rq1_bus_geography_diagnostic (13),README.md; src\run_covariance_sensitivity_check.py; src\run_geography_diagnostic.py; src\run_lsoa_aggregation_check.py; src\run_threshold_covariance_grid.py
FYP/rq1_bus_k_selection_check,D:\SDS2025_workspace\CASA_FYP\FYP\rq1_bus_k_selection_check,29,29,23,79.3,5,0,23,23,research_record/01_model_development/formal_sensitivity_checks/rq1_bus_k_selection_check (23),README.md; src\centrality_compare.py; src\evaluate_k5.py; src\inspect_k4_solutions.py; src\profile_best_k4.py; src\run_seed_check.py
FYP/rq1_bus_stoparea_clustering,D:\SDS2025_workspace\CASA_FYP\FYP\rq1_bus_stoparea_clustering,391,391,155,39.6,11,3,363,145,research_record/01_model_development/adopted_bus_diagnostics_snapshot/outputs_1805_min33 (171); research_record/01_model_development/adopted_bus_diagnostics_snapshot/cluster_substructure (6); analysis/02_mode_specific_clustering/bus (3); results (2),README.md; cluster_substructure\README.md; cluster_substructure\src\01_c1_substructure.py; outputs\clr\run_environment.json; outputs\clr\data\central_outer_diagnostic.csv; outputs\clr\diagnostics\bic_grid.csv; outputs\clr\diagnostics\bootstrap.csv; outputs\clr\diagnostics\cluster_homogeneity.csv
